"","Pos","Driver","Nationality","Car","Pts","year"
"1091",9,"Heinz-Harald
                    Frentzen
                    FRE","GER","Jordan Mugen Honda","11",2000
"1092",10,"Jarno
                    Trulli
                    TRU","ITA","Jordan Mugen Honda","6",2000
"1093",11,"Mika
                    Salo
                    SAL","FIN","Sauber Petronas","6",2000
"1094",12,"Jos
                    Verstappen
                    VER","NED","Arrows Supertec","5",2000
"1095",13,"Eddie
                    Irvine
                    IRV","GBR","Jaguar Cosworth","4",2000
"1096",14,"Ricardo
                    Zonta
                    ZON","BRA","BAR Honda","3",2000
"1097",15,"Alexander
                    Wurz
                    WUR","AUT","Benetton Playlife","2",2000
"1098",16,"Pedro
                    de la Rosa
                    DLR","ESP","Arrows Supertec","2",2000
"1099",17,"Pedro
                    Diniz
                    DIN","BRA","Sauber Petronas","0",2000
"1100",18,"Johnny
                    Herbert
                    HER","GBR","Jaguar Cosworth","0",2000
"1101",19,"Marc
                    Gene
                    GEN","ESP","Minardi Fondmetal","0",2000
"1102",20,"Gaston
                    Mazzacane
                    MAZ","ARG","Minardi Fondmetal","0",2000
"1103",21,"Nick
                    Heidfeld
                    HEI","GER","Prost Peugeot","0",2000
"1104",22,"Jean
                    Alesi
                    ALE","FRA","Prost Peugeot","0",2000
"1105",23,"Luciano
                    Burti
                    BUR","BRA","Jaguar Cosworth","0",2000
"1106",1,"Michael
                    Schumacher
                    MSC","GER","Ferrari","123",2001
"1107",2,"David
                    Coulthard
                    COU","GBR","McLaren Mercedes","65",2001
"1108",3,"Rubens
                    Barrichello
                    BAR","BRA","Ferrari","56",2001
"1109",4,"Ralf
                    Schumacher
                    RSC","GER","Williams BMW","49",2001
"1110",5,"Mika
                    Hakkinen
                    HAK","FIN","McLaren Mercedes","37",2001
"1111",6,"Juan Pablo
                    Montoya
                    MOY","COL","Williams BMW","31",2001
"1112",7,"Jacques
                    Villeneuve
                    VIL","CAN","BAR Honda","12",2001
"1113",8,"Nick
                    Heidfeld
                    HEI","GER","Sauber Petronas","12",2001
"1114",9,"Jarno
                    Trulli
                    TRU","ITA","Jordan Honda","12",2001
"1115",10,"Kimi
                    Räikkönen
                    RAI","FIN","Sauber Petronas","9",2001
"1116",11,"Giancarlo
                    Fisichella
                    FIS","ITA","Benetton Renault","8",2001
"1117",12,"Eddie
                    Irvine
                    IRV","GBR","Jaguar Cosworth","6",2001
"1118",13,"Heinz-Harald
                    Frentzen
                    FRE","GER","Prost Acer","6",2001
"1119",14,"Olivier
                    Panis
                    PAN","FRA","BAR Honda","5",2001
"1120",15,"Jean
                    Alesi
                    ALE","FRA","Jordan Honda","5",2001
"1121",16,"Pedro
                    de la Rosa
                    DLR","ESP","Jaguar Cosworth","3",2001
"1122",17,"Jenson
                    Button
                    BUT","GBR","Benetton Renault","2",2001
"1123",18,"Jos
                    Verstappen
                    VER","NED","Arrows Asiatech","1",2001
"1124",1,"Michael
                    Schumacher
                    MSC","GER","Ferrari","144",2002
"1125",2,"Rubens
                    Barrichello
                    BAR","BRA","Ferrari","77",2002
"1126",3,"Juan Pablo
                    Montoya
                    MOY","COL","Williams BMW","50",2002
"1127",4,"Ralf
                    Schumacher
                    RSC","GER","Williams BMW","42",2002
"1128",5,"David
                    Coulthard
                    COU","GBR","McLaren Mercedes","41",2002
"1129",6,"Kimi
                    Räikkönen
                    RAI","FIN","McLaren Mercedes","24",2002
"1130",7,"Jenson
                    Button
                    BUT","GBR","Renault","14",2002
"1131",8,"Jarno
                    Trulli
                    TRU","ITA","Renault","9",2002
"1132",9,"Eddie
                    Irvine
                    IRV","GBR","Jaguar Cosworth","8",2002
"1133",10,"Nick
                    Heidfeld
                    HEI","GER","Sauber Petronas","7",2002
"1134",11,"Giancarlo
                    Fisichella
                    FIS","ITA","Jordan Honda","7",2002
"1135",12,"Jacques
                    Villeneuve
                    VIL","CAN","BAR Honda","4",2002
"1136",13,"Felipe
                    Massa
                    MAS","BRA","Sauber Petronas","4",2002
"1137",14,"Olivier
                    Panis
                    PAN","FRA","BAR Honda","3",2002
"1138",15,"Takuma
                    Sato
                    SAT","JPN","Jordan Honda","2",2002
"1139",16,"Mark
                    Webber
                    WEB","AUS","Minardi Asiatech","2",2002
"1140",17,"Mika
                    Salo
                    SAL","FIN","Toyota","2",2002
"1141",18,"Heinz-Harald
                    Frentzen
                    FRE","GER","Sauber Petronas","2",2002
"1142",19,"Allan
                    McNish
                    MCN","GBR","Toyota","0",2002
"1143",20,"Alex
                    Yoong
                    YOO","MAS","Minardi Asiatech","0",2002
"1144",21,"Pedro
                    de la Rosa
                    DLR","ESP","Jaguar Cosworth","0",2002
"1145",22,"Enrique
                    Bernoldi
                    BER","BRA","Arrows Cosworth","0",2002
"1146",1,"Michael
                    Schumacher
                    MSC","GER","Ferrari","93",2003
"1147",2,"Kimi
                    Räikkönen
                    RAI","FIN","McLaren Mercedes","91",2003
"1148",3,"Juan Pablo
                    Montoya
                    MOY","COL","Williams BMW","82",2003
"1149",4,"Rubens
                    Barrichello
                    BAR","BRA","Ferrari","65",2003
"1150",5,"Ralf
                    Schumacher
                    RSC","GER","Williams BMW","58",2003
"1151",6,"Fernando
                    Alonso
                    ALO","ESP","Renault","55",2003
"1152",7,"David
                    Coulthard
                    COU","GBR","McLaren Mercedes","51",2003
"1153",8,"Jarno
                    Trulli
                    TRU","ITA","Renault","33",2003
"1154",9,"Jenson
                    Button
                    BUT","GBR","BAR Honda","17",2003
"1155",10,"Mark
                    Webber
                    WEB","AUS","Jaguar Cosworth","17",2003
"1156",11,"Heinz-Harald
                    Frentzen
                    FRE","GER","Sauber Petronas","13",2003
"1157",12,"Giancarlo
                    Fisichella
                    FIS","ITA","Jordan Ford","12",2003
"1158",13,"Cristiano
                    da Matta
                    DAM","BRA","Toyota","10",2003
"1159",14,"Nick
                    Heidfeld
                    HEI","GER","Sauber Petronas","6",2003
"1160",15,"Olivier
                    Panis
                    PAN","FRA","Toyota","6",2003
"1161",16,"Jacques
                    Villeneuve
                    VIL","CAN","BAR Honda","6",2003
"1162",17,"Marc
                    Gene
                    GEN","ESP","Williams BMW","4",2003
"1163",18,"Takuma
                    Sato
                    SAT","JPN","BAR Honda","3",2003
"1164",19,"Ralph
                    Firman
                    FIR","IRL","Jordan Ford","1",2003
"1165",20,"Justin
                    Wilson
                    WIL","GBR","Jaguar Cosworth","1",2003
"1166",21,"Antonio
                    Pizzonia
                    PIZ","BRA","Jaguar Cosworth","0",2003
"1167",22,"Jos
                    Verstappen
                    VER","NED","Minardi Cosworth","0",2003
"1168",23,"Nicolas
                    Kiesa
                    KIE","DEN","Minardi Cosworth","0",2003
"1169",24,"Zsolt
                    Baumgartner
                    BAU","HUN","Jordan Ford","0",2003
"1170",1,"Michael
                    Schumacher
                    MSC","GER","Ferrari","148",2004
"1171",2,"Rubens
                    Barrichello
                    BAR","BRA","Ferrari","114",2004
"1172",3,"Jenson
                    Button
                    BUT","GBR","BAR Honda","85",2004
"1173",4,"Fernando
                    Alonso
                    ALO","ESP","Renault","59",2004
"1174",5,"Juan Pablo
                    Montoya
                    MOY","COL","Williams BMW","58",2004
"1175",6,"Jarno
                    Trulli
                    TRU","ITA","Toyota","46",2004
"1176",7,"Kimi
                    Räikkönen
                    RAI","FIN","McLaren Mercedes","45",2004
"1177",8,"Takuma
                    Sato
                    SAT","JPN","BAR Honda","34",2004
"1178",9,"Ralf
                    Schumacher
                    RSC","GER","Williams BMW","24",2004
"1179",10,"David
                    Coulthard
                    COU","GBR","McLaren Mercedes","24",2004
"1180",11,"Giancarlo
                    Fisichella
                    FIS","ITA","Sauber Petronas","22",2004
"1181",12,"Felipe
                    Massa
                    MAS","BRA","Sauber Petronas","12",2004
"1182",13,"Mark
                    Webber
                    WEB","AUS","Jaguar Cosworth","7",2004
"1183",14,"Olivier
                    Panis
                    PAN","FRA","Toyota","6",2004
"1184",15,"Antonio
                    Pizzonia
                    PIZ","BRA","Williams BMW","6",2004
"1185",16,"Christian
                    Klien
                    KLI","AUT","Jaguar Cosworth","3",2004
"1186",17,"Cristiano
                    da Matta
                    DAM","BRA","Toyota","3",2004
"1187",18,"Nick
                    Heidfeld
                    HEI","GER","Jordan Ford","3",2004
"1188",19,"Timo
                    Glock
                    GLO","GER","Jordan Ford","2",2004
"1189",20,"Zsolt
                    Baumgartner
                    BAU","HUN","Minardi Cosworth","1",2004
"1190",21,"Jacques
                    Villeneuve
                    VIL","CAN","Renault","0",2004
"1191",22,"Ricardo
                    Zonta
                    ZON","BRA","Toyota","0",2004
"1192",23,"Marc
                    Gene
                    GEN","ESP","Williams BMW","0",2004
"1193",24,"Giorgio
                    Pantano
                    PAN","ITA","Jordan Ford","0",2004
"1194",25,"Gianmaria
                    Bruni
                    BRU","ITA","Minardi Cosworth","0",2004
"1195",1,"Fernando
                    Alonso
                    ALO","ESP","Renault","133",2005
"1196",2,"Kimi
                    Räikkönen
                    RAI","FIN","McLaren Mercedes","112",2005
"1197",3,"Michael
                    Schumacher
                    MSC","GER","Ferrari","62",2005
"1198",4,"Juan Pablo
                    Montoya
                    MOY","COL","McLaren Mercedes","60",2005
"1199",5,"Giancarlo
                    Fisichella
                    FIS","ITA","Renault","58",2005
"1200",6,"Ralf
                    Schumacher
                    RSC","GER","Toyota","45",2005
"1201",7,"Jarno
                    Trulli
                    TRU","ITA","Toyota","43",2005
"1202",8,"Rubens
                    Barrichello
                    BAR","BRA","Ferrari","38",2005
"1203",9,"Jenson
                    Button
                    BUT","GBR","BAR Honda","37",2005
"1204",10,"Mark
                    Webber
                    WEB","AUS","Williams BMW","36",2005
"1205",11,"Nick
                    Heidfeld
                    HEI","GER","Williams BMW","28",2005
"1206",12,"David
                    Coulthard
                    COU","GBR","RBR Cosworth","24",2005
"1207",13,"Felipe
                    Massa
                    MAS","BRA","Sauber Petronas","11",2005
"1208",14,"Jacques
                    Villeneuve
                    VIL","CAN","Sauber Petronas","9",2005
"1209",15,"Christian
                    Klien
                    KLI","AUT","RBR Cosworth","9",2005
"1210",16,"Tiago
                    Monteiro
                    MON","POR","Jordan Toyota","7",2005
"1211",17,"Alexander
                    Wurz
                    WUR","AUT","McLaren Mercedes","6",2005
"1212",18,"Narain
                    Karthikeyan
                    KAR","IND","Jordan Toyota","5",2005
"1213",19,"Christijan
                    Albers
                    ALB","NED","Minardi Cosworth","4",2005
"1214",20,"Pedro
                    de la Rosa
                    DLR","ESP","McLaren Mercedes","4",2005
"1215",21,"Patrick
                    Friesacher 
                    FRI","AUT","Minardi Cosworth","3",2005
"1216",22,"Antonio
                    Pizzonia
                    PIZ","BRA","Williams BMW","2",2005
"1217",23,"Takuma
                    Sato
                    SAT","JPN","BAR Honda","1",2005
"1218",24,"Vitantonio
                    Liuzzi
                    LIU","ITA","RBR Cosworth","1",2005
"1219",25,"Robert
                    Doornbos
                    DOO","MON","Minardi Cosworth","0",2005
"1220",1,"Fernando
                    Alonso
                    ALO","ESP","Renault","134",2006
"1221",2,"Michael
                    Schumacher
                    MSC","GER","Ferrari","121",2006
"1222",3,"Felipe
                    Massa
                    MAS","BRA","Ferrari","80",2006
"1223",4,"Giancarlo
                    Fisichella
                    FIS","ITA","Renault","72",2006
"1224",5,"Kimi
                    Räikkönen
                    RAI","FIN","McLaren Mercedes","65",2006
"1225",6,"Jenson
                    Button
                    BUT","GBR","Honda","56",2006
"1226",7,"Rubens
                    Barrichello
                    BAR","BRA","Honda","30",2006
"1227",8,"Juan Pablo
                    Montoya
                    MOY","COL","McLaren Mercedes","26",2006
"1228",9,"Nick
                    Heidfeld
                    HEI","GER","Sauber BMW","23",2006
"1229",10,"Ralf
                    Schumacher
                    RSC","GER","Toyota","20",2006
"1230",11,"Pedro
                    de la Rosa
                    DLR","ESP","McLaren Mercedes","19",2006
"1231",12,"Jarno
                    Trulli
                    TRU","ITA","Toyota","15",2006
"1232",13,"David
                    Coulthard
                    COU","GBR","RBR Ferrari","14",2006
"1233",14,"Mark
                    Webber
                    WEB","AUS","Williams Cosworth","7",2006
"1234",15,"Jacques
                    Villeneuve
                    VIL","CAN","Sauber BMW","7",2006
"1235",16,"Robert
                    Kubica
                    KUB","POL","Sauber BMW","6",2006
"1236",17,"Nico
                    Rosberg
                    ROS","GER","Williams Cosworth","4",2006
"1237",18,"Christian
                    Klien
                    KLI","AUT","RBR Ferrari","2",2006
"1238",19,"Vitantonio
                    Liuzzi
                    LIU","ITA","STR Cosworth","1",2006
"1239",20,"Scott
                    Speed
                    SPE","USA","STR Cosworth","0",2006
"1240",21,"Tiago
                    Monteiro
                    MON","POR","MF1 Toyota","0",2006
"1241",22,"Christijan
                    Albers
                    ALB","NED","MF1 Toyota","0",2006
"1242",23,"Takuma
                    Sato
                    SAT","JPN","Super Aguri Honda","0",2006
"1243",24,"Robert
                    Doornbos
                    DOO","NED","RBR Ferrari","0",2006
"1244",25,"Yuji
                    Ide
                    IDE","JPN","Super Aguri Honda","0",2006
"1245",26,"Sakon
                    Yamamoto
                    YAM","JPN","Super Aguri Honda","0",2006
"1246",27,"Franck
                    Montagny
                    MON","FRA","Super Aguri Honda","0",2006
"1247",1,"Kimi
                    Räikkönen
                    RAI","FIN","Ferrari","110",2007
"1248",2,"Lewis
                    Hamilton
                    HAM","GBR","McLaren Mercedes","109",2007
"1249",3,"Fernando
                    Alonso
                    ALO","ESP","McLaren Mercedes","109",2007
"1250",4,"Felipe
                    Massa
                    MAS","BRA","Ferrari","94",2007
"1251",5,"Nick
                    Heidfeld
                    HEI","GER","Sauber BMW","61",2007
"1252",6,"Robert
                    Kubica
                    KUB","POL","Sauber BMW","39",2007
"1253",7,"Heikki
                    Kovalainen
                    KOV","FIN","Renault","30",2007
"1254",8,"Giancarlo
                    Fisichella
                    FIS","ITA","Renault","21",2007
"1255",9,"Nico
                    Rosberg
                    ROS","GER","Williams Toyota","20",2007
"1256",10,"David
                    Coulthard
                    COU","GBR","Red Bull Renault","14",2007
"1257",11,"Alexander
                    Wurz
                    WUR","AUT","Williams Toyota","13",2007
"1258",12,"Mark
                    Webber
                    WEB","AUS","Red Bull Renault","10",2007
"1259",13,"Jarno
                    Trulli
                    TRU","ITA","Toyota","8",2007
"1260",14,"Sebastian
                    Vettel
                    VET","GER","STR Ferrari","6",2007
"1261",15,"Jenson
                    Button
                    BUT","GBR","Honda","6",2007
"1262",16,"Ralf
                    Schumacher
                    RSC","GER","Toyota","5",2007
"1263",17,"Takuma
                    Sato
                    SAT","JPN","Super Aguri Honda","4",2007
"1264",18,"Vitantonio
                    Liuzzi
                    LIU","ITA","STR Ferrari","3",2007
"1265",19,"Adrian
                    Sutil
                    SUT","GER","Spyker Ferrari","1",2007
"1266",20,"Rubens
                    Barrichello
                    BAR","BRA","Honda","0",2007
"1267",21,"Scott
                    Speed
                    SPE","USA","STR Ferrari","0",2007
"1268",22,"Kazuki
                    Nakajima
                    NAK","JPN","Williams Toyota","0",2007
"1269",23,"Anthony
                    Davidson
                    DAV","GBR","Super Aguri Honda","0",2007
"1270",24,"Sakon
                    Yamamoto
                    YAM","JPN","Spyker Ferrari","0",2007
"1271",25,"Christijan
                    Albers
                    ALB","NED","Spyker Ferrari","0",2007
"1272",1,"Lewis
                    Hamilton
                    HAM","GBR","McLaren Mercedes","98",2008
"1273",2,"Felipe
                    Massa
                    MAS","BRA","Ferrari","97",2008
"1274",3,"Kimi
                    Räikkönen
                    RAI","FIN","Ferrari","75",2008
"1275",4,"Robert
                    Kubica
                    KUB","POL","Sauber BMW","75",2008
"1276",5,"Fernando
                    Alonso
                    ALO","ESP","Renault","61",2008
"1277",6,"Nick
                    Heidfeld
                    HEI","GER","Sauber BMW","60",2008
"1278",7,"Heikki
                    Kovalainen
                    KOV","FIN","McLaren Mercedes","53",2008
"1279",8,"Sebastian
                    Vettel
                    VET","GER","STR Ferrari","35",2008
"1280",9,"Jarno
                    Trulli
                    TRU","ITA","Toyota","31",2008
"1281",10,"Timo
                    Glock
                    GLO","GER","Toyota","25",2008
"1282",11,"Mark
                    Webber
                    WEB","AUS","Red Bull Renault","21",2008
"1283",12,"Nelson
                    Piquet
                    PIQ","BRA","Renault","19",2008
"1284",13,"Nico
                    Rosberg
                    ROS","GER","Williams Toyota","17",2008
"1285",14,"Rubens
                    Barrichello
                    BAR","BRA","Honda","11",2008
"1286",15,"Kazuki
                    Nakajima
                    NAK","JPN","Williams Toyota","9",2008
"1287",16,"David
                    Coulthard
                    COU","GBR","Red Bull Renault","8",2008
"1288",17,"Sebastien
                    Bourdais
                    BOU","FRA","STR Ferrari","4",2008
"1289",18,"Jenson
                    Button
                    BUT","GBR","Honda","3",2008
"1290",19,"Giancarlo
                    Fisichella
                    FIS","ITA","Force India Ferrari","0",2008
"1291",20,"Adrian
                    Sutil
                    SUT","GER","Force India Ferrari","0",2008
"1292",21,"Takuma
                    Sato
                    SAT","JPN","Super Aguri Honda","0",2008
"1293",22,"Anthony
                    Davidson
                    DAV","GBR","Super Aguri Honda","0",2008
"1294",1,"Jenson
                    Button
                    BUT","GBR","Brawn Mercedes","95",2009
"1295",2,"Sebastian
                    Vettel
                    VET","GER","RBR Renault","84",2009
"1296",3,"Rubens
                    Barrichello
                    BAR","BRA","Brawn Mercedes","77",2009
"1297",4,"Mark
                    Webber
                    WEB","AUS","RBR Renault","69.5",2009
"1298",5,"Lewis
                    Hamilton
                    HAM","GBR","McLaren Mercedes","49",2009
"1299",6,"Kimi
                    Räikkönen
                    RAI","FIN","Ferrari","48",2009
"1300",7,"Nico
                    Rosberg
                    ROS","GER","Williams Toyota","34.5",2009
"1301",8,"Jarno
                    Trulli
                    TRU","ITA","Toyota","32.5",2009
"1302",9,"Fernando
                    Alonso
                    ALO","ESP","Renault","26",2009
"1303",10,"Timo
                    Glock
                    GLO","GER","Toyota","24",2009
"1304",11,"Felipe
                    Massa
                    MAS","BRA","Ferrari","22",2009
"1305",12,"Heikki
                    Kovalainen
                    KOV","FIN","McLaren Mercedes","22",2009
"1306",13,"Nick
                    Heidfeld
                    HEI","GER","Sauber BMW","19",2009
"1307",14,"Robert
                    Kubica
                    KUB","POL","Sauber BMW","17",2009
"1308",15,"Giancarlo
                    Fisichella
                    FIS","ITA","Ferrari","8",2009
"1309",16,"Sebastien
                    Buemi
                    BUE","SUI","STR Ferrari","6",2009
"1310",17,"Adrian
                    Sutil
                    SUT","GER","Force India Mercedes","5",2009
"1311",18,"Kamui
                    Kobayashi
                    KOB","JPN","Toyota","3",2009
"1312",19,"Sebastien
                    Bourdais
                    BOU","FRA","STR Ferrari","2",2009
"1313",20,"Kazuki
                    Nakajima
                    NAK","JPN","Williams Toyota","0",2009
"1314",21,"Nelson
                    Piquet
                    PIQ","BRA","Renault","0",2009
"1315",22,"Vitantonio
                    Liuzzi
                    LIU","ITA","Force India Mercedes","0",2009
"1316",23,"Romain
                    Grosjean
                    GRO","FRA","Renault","0",2009
"1317",24,"Jaime
                    Alguersuari
                    ALG","ESP","STR Ferrari","0",2009
"1318",25,"Luca
                    Badoer
                    BAD","ITA","Ferrari","0",2009
"1319",1,"Sebastian
                    Vettel
                    VET","GER","RBR Renault","256",2010
"1320",2,"Fernando
                    Alonso
                    ALO","ESP","Ferrari","252",2010
"1321",3,"Mark
                    Webber
                    WEB","AUS","RBR Renault","242",2010
"1322",4,"Lewis
                    Hamilton
                    HAM","GBR","McLaren Mercedes","240",2010
"1323",5,"Jenson
                    Button
                    BUT","GBR","McLaren Mercedes","214",2010
"1324",6,"Felipe
                    Massa
                    MAS","BRA","Ferrari","144",2010
"1325",7,"Nico
                    Rosberg
                    ROS","GER","Mercedes","142",2010
"1326",8,"Robert
                    Kubica
                    KUB","POL","Renault","136",2010
"1327",9,"Michael
                    Schumacher
                    MSC","GER","Mercedes","72",2010
"1328",10,"Rubens
                    Barrichello
                    BAR","BRA","Williams Cosworth","47",2010
"1329",11,"Adrian
                    Sutil
                    SUT","GER","Force India Mercedes","47",2010
"1330",12,"Kamui
                    Kobayashi
                    KOB","JPN","Sauber Ferrari","32",2010
"1331",13,"Vitaly
                    Petrov
                    PET","RUS","Renault","27",2010
"1332",14,"Nico
                    Hulkenberg
                    HUL","GER","Williams Cosworth","22",2010
"1333",15,"Vitantonio
                    Liuzzi
                    LIU","ITA","Force India Mercedes","21",2010
"1334",16,"Sebastien
                    Buemi
                    BUE","SUI","STR Ferrari","8",2010
"1335",17,"Pedro
                    de la Rosa
                    DLR","ESP","Sauber Ferrari","6",2010
"1336",18,"Nick
                    Heidfeld
                    HEI","GER","Sauber Ferrari","6",2010
"1337",19,"Jaime
                    Alguersuari
                    ALG","ESP","STR Ferrari","5",2010
"1338",20,"Heikki
                    Kovalainen
                    KOV","FIN","Lotus Cosworth","0",2010
"1339",21,"Jarno
                    Trulli
                    TRU","ITA","Lotus Cosworth","0",2010
"1340",22,"Karun
                    Chandhok
                    CHD","IND","HRT Cosworth","0",2010
"1341",23,"Bruno
                    Senna
                    SEN","BRA","HRT Cosworth","0",2010
"1342",24,"Lucas
                    di Grassi
                    DIG","BRA","Virgin Cosworth","0",2010
"1343",25,"Timo
                    Glock
                    GLO","GER","Virgin Cosworth","0",2010
"1344",26,"Sakon
                    Yamamoto
                    YAM","JPN","HRT Cosworth","0",2010
"1345",27,"Christian
                    Klien
                    KLI","AUT","HRT Cosworth","0",2010
"1346",1,"Sebastian
                    Vettel
                    VET","GER","Red Bull Racing Renault","392",2011
"1347",2,"Jenson
                    Button
                    BUT","GBR","McLaren Mercedes","270",2011
"1348",3,"Mark
                    Webber
                    WEB","AUS","Red Bull Racing Renault","258",2011
"1349",4,"Fernando
                    Alonso
                    ALO","ESP","Ferrari","257",2011
"1350",5,"Lewis
                    Hamilton
                    HAM","GBR","McLaren Mercedes","227",2011
"1351",6,"Felipe
                    Massa
                    MAS","BRA","Ferrari","118",2011
"1352",7,"Nico
                    Rosberg
                    ROS","GER","Mercedes","89",2011
"1353",8,"Michael
                    Schumacher
                    MSC","GER","Mercedes","76",2011
"1354",9,"Adrian
                    Sutil
                    SUT","GER","Force India Mercedes","42",2011
"1355",10,"Vitaly
                    Petrov
                    PET","RUS","Renault","37",2011
"1356",11,"Nick
                    Heidfeld
                    HEI","GER","Renault","34",2011
"1357",12,"Kamui
                    Kobayashi
                    KOB","JPN","Sauber Ferrari","30",2011
"1358",13,"Paul
                    di Resta
                    DIR","GBR","Force India Mercedes","27",2011
"1359",14,"Jaime
                    Alguersuari
                    ALG","ESP","STR Ferrari","26",2011
"1360",15,"Sebastien
                    Buemi
                    BUE","SUI","STR Ferrari","15",2011
"1361",16,"Sergio
                    Perez
                    PER","MEX","Sauber Ferrari","14",2011
"1362",17,"Rubens
                    Barrichello
                    BAR","BRA","Williams Cosworth","4",2011
"1363",18,"Bruno
                    Senna
                    SEN","BRA","Renault","2",2011
"1364",19,"Pastor
                    Maldonado
                    MAL","VEN","Williams Cosworth","1",2011
"1365",20,"Pedro
                    de la Rosa
                    DLR","ESP","Sauber Ferrari","0",2011
"1366",21,"Jarno
                    Trulli
                    TRU","ITA","Lotus Renault","0",2011
"1367",22,"Heikki
                    Kovalainen
                    KOV","FIN","Lotus Renault","0",2011
"1368",23,"Vitantonio
                    Liuzzi
                    LIU","ITA","HRT Cosworth","0",2011
"1369",24,"Jerome
                    d'Ambrosio
                    DAM","BEL","Virgin Cosworth","0",2011
"1370",25,"Timo
                    Glock
                    GLO","GER","Virgin Cosworth","0",2011
"1371",26,"Narain
                    Karthikeyan
                    KAR","IND","HRT Cosworth","0",2011
"1372",27,"Daniel
                    Ricciardo
                    RIC","AUS","HRT Cosworth","0",2011
"1373",28,"Karun
                    Chandhok
                    CHD","IND","Lotus Renault","0",2011
"1374",1,"Sebastian
                    Vettel
                    VET","GER","Red Bull Racing Renault","281",2012
"1375",2,"Fernando
                    Alonso
                    ALO","ESP","Ferrari","278",2012
"1376",3,"Kimi
                    Räikkönen
                    RAI","FIN","Lotus Renault","207",2012
"1377",4,"Lewis
                    Hamilton
                    HAM","GBR","McLaren Mercedes","190",2012
"1378",5,"Jenson
                    Button
                    BUT","GBR","McLaren Mercedes","188",2012
"1379",6,"Mark
                    Webber
                    WEB","AUS","Red Bull Racing Renault","179",2012
"1380",7,"Felipe
                    Massa
                    MAS","BRA","Ferrari","122",2012
"1381",8,"Romain
                    Grosjean
                    GRO","FRA","Lotus Renault","96",2012
"1382",9,"Nico
                    Rosberg
                    ROS","GER","Mercedes","93",2012
"1383",10,"Sergio
                    Perez
                    PER","MEX","Sauber Ferrari","66",2012
"1384",11,"Nico
                    Hulkenberg
                    HUL","GER","Force India Mercedes","63",2012
"1385",12,"Kamui
                    Kobayashi
                    KOB","JPN","Sauber Ferrari","60",2012
"1386",13,"Michael
                    Schumacher
                    MSC","GER","Mercedes","49",2012
"1387",14,"Paul
                    di Resta
                    DIR","GBR","Force India Mercedes","46",2012
"1388",15,"Pastor
                    Maldonado
                    MAL","VEN","Williams Renault","45",2012
"1389",16,"Bruno
                    Senna
                    SEN","BRA","Williams Renault","31",2012
"1390",17,"Jean-Eric
                    Vergne
                    VER","FRA","STR Ferrari","16",2012
"1391",18,"Daniel
                    Ricciardo
                    RIC","AUS","STR Ferrari","10",2012
"1392",19,"Vitaly
                    Petrov
                    PET","RUS","Caterham Renault","0",2012
"1393",20,"Timo
                    Glock
                    GLO","GER","Marussia Cosworth","0",2012
"1394",21,"Charles
                    Pic
                    PIC","FRA","Marussia Cosworth","0",2012
"1395",22,"Heikki
                    Kovalainen
                    KOV","FIN","Caterham Renault","0",2012
"1396",23,"Jerome
                    d'Ambrosio
                    DAM","BEL","Lotus Renault","0",2012
"1397",24,"Narain
                    Karthikeyan
                    KAR","IND","HRT Cosworth","0",2012
"1398",25,"Pedro
                    de la Rosa
                    DLR","ESP","HRT Cosworth","0",2012
"1399",1,"Sebastian
                    Vettel
                    VET","GER","Red Bull Racing Renault","397",2013
"1400",2,"Fernando
                    Alonso
                    ALO","ESP","Ferrari","242",2013
"1401",3,"Mark
                    Webber
                    WEB","AUS","Red Bull Racing Renault","199",2013
"1402",4,"Lewis
                    Hamilton
                    HAM","GBR","Mercedes","189",2013
"1403",5,"Kimi
                    Räikkönen
                    RAI","FIN","Lotus Renault","183",2013
"1404",6,"Nico
                    Rosberg
                    ROS","GER","Mercedes","171",2013
"1405",7,"Romain
                    Grosjean
                    GRO","FRA","Lotus Renault","132",2013
"1406",8,"Felipe
                    Massa
                    MAS","BRA","Ferrari","112",2013
"1407",9,"Jenson
                    Button
                    BUT","GBR","McLaren Mercedes","73",2013
"1408",10,"Nico
                    Hulkenberg
                    HUL","GER","Sauber Ferrari","51",2013
"1409",11,"Sergio
                    Perez
                    PER","MEX","McLaren Mercedes","49",2013
"1410",12,"Paul
                    di Resta
                    DIR","GBR","Force India Mercedes","48",2013
"1411",13,"Adrian
                    Sutil
                    SUT","GER","Force India Mercedes","29",2013
"1412",14,"Daniel
                    Ricciardo
                    RIC","AUS","STR Ferrari","20",2013
"1413",15,"Jean-Eric
                    Vergne
                    VER","FRA","STR Ferrari","13",2013
"1414",16,"Esteban
                    Gutierrez 
                    GUT","MEX","Sauber Ferrari","6",2013
"1415",17,"Valtteri 
                    Bottas
                    BOT","FIN","Williams Renault","4",2013
"1416",18,"Pastor
                    Maldonado
                    MAL","VEN","Williams Renault","1",2013
"1417",19,"Jules
                    Bianchi
                    BIA","FRA","Marussia Cosworth","0",2013
"1418",20,"Charles
                    Pic
                    PIC","FRA","Caterham Renault","0",2013
"1419",21,"Heikki
                    Kovalainen
                    KOV","FIN","Lotus Renault","0",2013
"1420",22,"Giedo
                    van der Garde
                    VDG","NED","Caterham Renault","0",2013
"1421",23,"Max
                    Chilton
                    CHI","GBR","Marussia Cosworth","0",2013
