lapNo	pit	time	No	name								
22	0	1:42.637	77	V. BOTTAS								
23	0	1:10.562	77	V. BOTTAS								
24	0	1:14.695	77	V. BOTTAS								
25	0	1:09.110	77	V. BOTTAS								
26	0	1:16.889	77	V. BOTTAS								
27	0	1:09.050	77	V. BOTTAS								
28	0	1:18.618	77	V. BOTTAS								
29	0	1:08.998	77	V. BOTTAS								
30 P	1	1:20.368	77	V. BOTTAS								
31	0	9:52.295	77	V. BOTTAS								
32	0	1:11.292	77	V. BOTTAS								
33	0	1:11.577	77	V. BOTTAS								
34	0	1:11.756	77	V. BOTTAS								
35	0	1:12.404	77	V. BOTTAS								
36	0	1:12.788	77	V. BOTTAS								
37	0	1:13.010	77	V. BOTTAS								
38	0	1:13.251	77	V. BOTTAS								
39	0	1:36.377	77	V. BOTTAS								
40 P	1	1:54.212	77	V. BOTTAS								
1	0	10:02:03	88	R. HARYANTO								
2 P	1	1:28.345	88	R. HARYANTO								
3 P	1	13:47.316	88	R. HARYANTO								
4	0	14:24.875	88	R. HARYANTO								
5	0	1:13.635	88	R. HARYANTO								
6	0	1:12.021	88	R. HARYANTO								
7	0	1:11.040	88	R. HARYANTO								
8	0	1:11.937	88	R. HARYANTO								
9	0	1:13.494	88	R. HARYANTO								
10 P	1	1:20.058	88	R. HARYANTO								
11	0	18:27.458	88	R. HARYANTO								
12	0	1:14.988	88	R. HARYANTO								
13	0	1:10.493	88	R. HARYANTO								
14	0	1:44.035	88	R. HARYANTO								
15	0	1:25.420	88	R. HARYANTO								
16	0	1:11.226	88	R. HARYANTO								
17	0	1:30.583	88	R. HARYANTO								
18 P	1	1:35.590	88	R. HARYANTO								
19	0	23:24.793	88	R. HARYANTO								
20	0	1:46.759	88	R. HARYANTO								
21 P	1	2:01.842	88	R. HARYANTO								
1 P	1	10:01:47	94	P. WEHRLEIN								
2	0	8:43.838	94	P. WEHRLEIN								
3	0	1:12.737	94	P. WEHRLEIN								
4	0	1:11.815	94	P. WEHRLEIN								
5	0	1:16.701	94	P. WEHRLEIN								
6	0	1:11.719	94	P. WEHRLEIN								
7	0	1:21.146	94	P. WEHRLEIN								
8	0	1:12.585	94	P. WEHRLEIN								
9	0	1:13.788	94	P. WEHRLEIN								
10	0	1:13.387	94	P. WEHRLEIN								
11 P	1	1:19.632	94	P. WEHRLEIN								
12	0	11:17.435	94	P. WEHRLEIN								
13	0	1:12.021	94	P. WEHRLEIN								
14 P	1	1:18.362	94	P. WEHRLEIN								
"15 P
"	1	"1:57.950
"	94	P. WEHRLEIN								
"
16
"	0	"
18:24.952
"	94	P. WEHRLEIN								
"
17"	0	"
1:10.379"	94	P. WEHRLEIN								
18	0	1:24.306	94	P. WEHRLEIN								
19	0	1:11.030	94	P. WEHRLEIN								
20	0	1:34.680	94	P. WEHRLEIN								
21	0	1:30.564	94	P. WEHRLEIN								
22	0	1:09.775	94	P. WEHRLEIN								
23	0	1:14.964	94	P. WEHRLEIN								
24	0	1:10.749	94	P. WEHRLEIN								
25 P	1	1:17.756	94	P. WEHRLEIN								
26	0	15:42.446	94	P. WEHRLEIN								
27	0	1:10.850	94	P. WEHRLEIN								
28	0	1:10.933	94	P. WEHRLEIN								
29	0	1:16.818	94	P. WEHRLEIN								
30	0	1:12.216	94	P. WEHRLEIN								
31	0	1:11.763	94	P. WEHRLEIN								
"32
"	0	"1:25.101
"	94	P. WEHRLEIN								
"
33
"	0	"
2:02.138
"	94	P. WEHRLEIN								
"
34 P"	1	"
2:07.123"	94	P. WEHRLEIN								
